Date,Open,High,Low,Close,Adj Close,Volume
2020-04-14,227.800003,229.000000,222.300003,224.899994,220.465347,750236
2020-04-15,222.000000,223.899994,213.600006,214.300003,210.074371,1038603
2020-04-16,214.500000,215.899994,209.600006,211.699997,207.525635,821745
2020-04-17,217.399994,223.500000,216.699997,218.699997,214.387604,1279772
2020-04-20,220.399994,222.800003,217.699997,221.600006,217.230438,617101
2020-04-21,217.800003,220.100006,211.100006,211.199997,207.035492,1011225
2020-04-22,211.600006,212.199997,205.100006,206.800003,202.722260,886899
2020-04-23,206.500000,210.699997,204.199997,208.399994,204.290695,930845
2020-04-24,203.600006,207.699997,202.199997,205.399994,201.349854,878116
2020-04-27,198.250000,216.399994,197.199997,206.800003,202.722260,1409663
2020-04-28,207.500000,210.199997,201.500000,205.399994,201.349854,963143
2020-04-29,204.100006,213.600006,199.699997,212.500000,208.309860,1214197
2020-04-30,214.699997,217.800003,208.000000,209.199997,205.074936,1247587
2020-05-04,203.000000,203.600006,193.100006,193.850006,190.027618,1494144
2020-05-05,196.899994,199.350006,193.899994,198.850006,194.929031,828679
2020-05-06,199.350006,200.399994,193.050003,200.000000,196.056335,1016561
2020-05-07,200.000000,210.500000,199.350006,209.100006,204.976913,1165279
2020-05-08,211.000000,212.800003,206.600006,207.899994,203.800568,531327
2020-05-11,209.899994,210.500000,203.899994,205.500000,201.447891,588505
2020-05-12,204.100006,207.600006,203.199997,204.300003,200.271561,586823
2020-05-13,201.199997,202.399994,196.250000,198.149994,194.242813,973475
2020-05-14,195.000000,197.149994,189.399994,195.250000,191.400009,918512
2020-05-15,196.649994,200.399994,196.199997,200.300003,200.300003,831199
2020-05-18,203.300003,217.000000,203.300003,214.899994,214.899994,1298436
2020-05-19,219.600006,221.399994,213.600006,218.100006,218.100006,1258762
2020-05-20,217.800003,220.800003,216.600006,220.199997,220.199997,791109
2020-05-21,218.000000,218.699997,214.600006,216.699997,216.699997,615341
2020-05-22,213.399994,218.500000,211.600006,217.800003,217.800003,648062
2020-05-25,220.300003,223.000000,218.399994,221.899994,221.899994,526030
2020-05-26,225.000000,230.699997,223.899994,228.899994,228.899994,941542
2020-05-27,233.800003,236.500000,228.300003,233.000000,233.000000,1174137
2020-05-28,236.399994,240.000000,232.500000,239.000000,239.000000,1042586
2020-05-29,236.600006,239.699997,234.800003,237.199997,237.199997,1803669
2020-06-02,241.300003,243.399994,239.000000,241.100006,241.100006,1136776
2020-06-03,245.000000,251.899994,242.699997,250.199997,250.199997,1256747
2020-06-04,255.000000,257.700012,250.199997,254.800003,254.800003,1355534
2020-06-05,258.500000,265.600006,256.700012,264.500000,264.500000,1477676
2020-06-08,261.899994,261.899994,256.100006,257.399994,257.399994,957226
2020-06-09,259.299988,260.000000,247.600006,251.300003,251.300003,1061554
2020-06-10,253.199997,255.500000,246.399994,248.199997,248.199997,788808
2020-06-11,242.100006,243.199997,234.300003,234.300003,234.300003,1101276
2020-06-12,230.100006,239.500000,228.800003,230.100006,230.100006,1400939
2020-06-15,224.100006,233.199997,222.500000,230.800003,230.800003,807432
2020-06-16,238.100006,243.300003,235.500000,240.500000,240.500000,1033918
2020-06-17,240.500000,242.800003,238.000000,241.399994,241.399994,575952
2020-06-18,240.300003,241.800003,237.399994,240.699997,240.699997,724390
